label,id,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11,OVD_t1_sum,OVD_t1_mean,OVD_t1_max,OVD_t2_sum,OVD_t2_mean,OVD_t2_max,OVD_t3_sum,OVD_t3_mean,OVD_t3_max,OVD_sum_sum,OVD_sum_mean,OVD_sum_max,OVD_sum_std,pay_normal_sum,pay_normal_mean,new_balance_mean,new_balance_max,new_balance_min,new_balance_std,highest_balance_mean,highest_balance_max,prod_limit_mean,prod_limit_max,prod_code_count,overdue_rate,credit_utilization,balance_ratio,overdue_volatility,payment_score
0,54986045,7,1284.5,3,132000.0,2,11,5,104,5,60015,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,92,10.222222222222221,8977.333333333334,34320.0,-669.6,12894.397901414395,45553.25,64850.0,55550.0,82500.0,9,0.0,0.16160525163063372,0.19706906234507943,0.0,20.444444444444443
0,54983601,5,1241.0,3,35000.0,2,15,5,104,5,151300,243.3536521,1,0.16666666666666666,1,0,0.0,0,0,0.0,0,30,5.0,30,12.24744871391589,93,15.5,118877.2,304827.6,0.0,132360.63207247085,356072.3333333333,770500.0,112200.0,112200.0,6,0.24193548387096775,1.059502143474657,0.3338559472767782,12.24744871391589,6.0
0,58993583,7,1338.5,1,156000.0,2,11,-1,69,5,151300,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,140,17.5,26836.95,181030.8,0.0,63131.22777632092,66518.42857142857,173080.0,189200.0,189200.0,8,0.0,0.14184359490700366,0.40344528773548444,0.0,35.0
0,58991753,7,1287.5,1,119000.0,2,11,5,85,5,60031,187.08286930000003,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,38,9.5,31493.4,115996.8,0.0,56531.57576151579,73634.5,150500.0,53900.0,53900.0,4,0.0,0.5842822953191963,0.4276931643025443,0.0,19.0
0,59004489,4,1262.0,3,155000.0,2,8,5,110,4,72001,248.3022352,3,0.42857142857142855,2,3,0.42857142857142855,1,3,0.42857142857142855,3,730,104.28571428571429,615,227.10842805857757,80,11.428571428571429,8839.371428571429,61952.4,-76.8,23420.661651749175,71898.0,202500.0,22000.0,22000.0,7,0.9001233045622689,0.4017713480556079,0.12294150723336109,227.10842805857757,-528.5714285714287
0,58991029,7,1328.0,1,105000.0,2,11,-1,109,4,60095,200.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,6,3.2666666666666666,173066.4,258476.4,64660.8,120787.98036228605,237023.5,400500.0,72380.0,96800.0,2,0.0,0.41706539394790143,0.730162493750646,0.0,6.0
1,58992006,7,1272.5,3,50000.0,2,11,7,115,4,60007,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,21,4.2,14604.48,31500.0,0.0,14059.915659490991,24356.0,32000.0,72380.0,96800.0,5,0.0,0.41706539394790143,0.5996009360758714,0.0,8.4
0,58995283,7,1229.0,1,170000.0,1,11,5,91,3,550109,244.94897430000003,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,115,8.846153846153847,78429.04615384615,440862.0,0.0,138668.8201873359,159482.91666666666,500500.0,63800.0,63800.0,13,0.0,1.2292761266100243,0.491767745570036,0.0,17.692307692307693
0,54987316,7,1257.5,3,107000.0,2,11,5,113,4,450071,200.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,137,11.416666666666666,35050.7,281086.8,-2571.6,81932.10351249269,72215.33333333333,304879.0,48400.0,82500.0,12,0.0,0.7241730542757381,0.48535695987518984,0.0,22.833333333333332
0,54988624,7,1274.0,1,120000.0,2,11,5,84,5,151300,1.0,5,0.25,3,1,0.05,1,0,0.0,0,123,6.15,92,20.790369734187284,361,18.05,763.3199999999999,6499.2,-1.2,1792.7022547862734,88573.1,314539.0,70537.5,176000.0,20,0.2536082474226804,0.010821324524904839,0.008617869106205989,20.790369734187284,5.350000000000001
0,59002619,4,1223.0,3,100000.0,2,8,9,114,4,60000,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,63,12.6,9814.560000000001,26019.6,2708.4,9400.032483348128,25486.2,46366.0,91850.0,122100.0,5,0.0,0.10685305549204692,0.3850779999372234,0.0,25.2
0,54990339,4,1305.5,1,90000.0,2,8,5,93,5,60085,200.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,23,11.5,312393.6,621036.0,3751.2,436486.26800338173,267804.0,480500.0,72380.0,96800.0,2,0.0,0.41706539394790143,1.1664965179888351,0.0,23.0
1,58994856,7,1215.5,3,60000.0,2,11,-1,112,4,450081,158.11388300000002,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,41,8.2,19810.56,51232.8,0.0,19071.53512982109,54856.2,63091.0,65450.0,72600.0,5,0.0,0.3026777283769538,0.36112962382330854,0.0,16.4
0,54992395,4,1281.5,2,91000.0,2,8,-1,107,3,60018,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,120,17.142857142857142,5948.742857142856,34479.6,0.0,12754.232779076017,37788.28571428572,128298.0,19250.0,27500.0,7,0.0,0.309009550524277,0.1574187694924865,0.0,34.285714285714285
0,58989600,7,1293.5,3,149000.0,2,11,9,84,5,151300,202.4845673,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,180,20.0,46018.4,100155.6,0.0,43794.0256021298,93868.66666666667,121376.0,125400.0,125400.0,9,0.0,0.36696996036714224,0.49023717281763013,0.0,40.0
0,58998658,4,1311.5,1,169000.0,2,8,-1,112,5,72000,1.0,1,0.2,1,1,0.2,1,0,0.0,0,75,15.0,75,33.54101966249684,88,17.6,131324.64,605736.0,0.0,265734.99437516317,173929.4,570500.0,89100.0,135300.0,5,0.4573170731707317,1.4738851415809027,0.7550413268755779,33.54101966249684,-39.8
0,58987491,5,1241.0,3,84000.0,2,15,5,87,3,60074,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,43,10.75,94202.4,284367.6,0.0,128636.79553098328,103111.0,278910.0,127600.0,127600.0,4,0.0,0.7382575371666366,0.9135929862673597,0.0,21.5
0,58998706,4,1281.5,2,90000.0,2,8,5,79,5,72001,173.20508080000002,2,0.16666666666666666,1,0,0.0,0,0,0.0,0,29,2.4166666666666665,28,8.061787906067998,176,14.666666666666666,9850.6,82926.0,-222.0,24015.064952725745,53999.09090909091,190500.0,70950.0,118800.0,12,0.1407766990291262,0.13883666192160787,0.1824182114171525,8.061787906067998,17.25
0,58988855,7,1328.0,3,163000.0,2,11,9,79,5,60062,1.0,6,0.75,6,0,0.0,0,0,0.0,0,35,4.375,35,12.374368670764582,167,20.875,11345.25,41209.2,-445.2,13926.930534861482,96169.42857142857,260200.0,97854.16666666667,137362.5,8,0.1724137931034483,0.1159392026651633,0.11797025518684835,12.374368670764582,19.875
0,58997329,4,1281.5,2,65000.0,2,8,5,112,4,60015,191.8801709,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,210,21.0,27085.559999999998,170769.6,0.0,55741.63898573489,159390.44444444444,274920.0,124575.0,222750.0,10,0.0,0.21742197534035446,0.1699310781353802,0.0,42.0
1,58987200,5,1281.5,2,126000.0,2,15,9,83,5,450058,176.0681686,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,150,16.666666666666668,43495.2,216960.0,0.0,76423.42631628079,79482.33333333333,226916.0,148500.0,199100.0,9,0.0,0.29289499734008523,0.5472241560075487,0.0,33.333333333333336
0,58984430,5,1316.0,3,147000.0,2,15,9,105,5,361029,173.20508080000002,4,0.5714285714285714,3,9,1.2857142857142858,9,29,4.142857142857143,24,9056,1293.7142857142858,8290,3097.606049531676,84,12.0,9402.0,41737.2,0.0,16846.87376577625,36718.142857142855,75260.0,55000.0,55000.0,7,0.9907012361886008,0.17094234650279086,0.25605172856509256,3097.606049531676,-6734.571428571429
0,54982727,5,1305.5,3,157000.0,2,15,9,111,5,71000,249.7999199,13,0.7222222222222222,9,12,0.6666666666666666,9,25,1.3888888888888888,14,5004,278.0,2420,712.2004014072907,124,6.888888888888889,79418.13333333335,444398.4,0.0,147454.17821229593,135910.29411764705,375400.0,46200.0,70400.0,18,0.9756287775394814,1.7189700078641879,0.5843379966979617,712.2004014072907,-1626.2222222222222
0,58997840,4,1281.5,2,90000.0,2,8,5,113,4,151307,189.5837546,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,141,15.666666666666666,63020.26666666667,183824.4,0.0,60077.59791669437,75100.55555555556,200500.0,51700.0,111100.0,9,0.0,1.2189370934153434,0.8391339726651615,0.0,31.333333333333332
0,58992450,7,1281.5,2,78000.0,2,11,9,84,3,60031,175.6331404,5,0.7142857142857143,2,6,0.8571428571428571,3,54,5.666666666666667,35,33497,3349.7,22884,8802.882159964554,78,11.142857142857142,0.0,36.0,0.0,110.39347806822647,40745.71428571428,70500.0,27500.0,27500.0,7,0.9977857444116407,0.000148146901120364,0.0,8802.882159964554,-17156.7
0,58983266,5,1209.5,3,35000.0,2,15,5,78,5,71000,227.015418,2,0.16666666666666666,1,0,0.0,0,0,0.0,0,16,1.3333333333333333,15,4.313474308032981,158,13.166666666666666,88124.90000000001,575247.6,0.0,168930.55472177695,100780.08333333333,499500.0,25300.0,42900.0,12,0.09142857142857143,3.4830599581044233,0.8744190584707945,4.313474308032981,19.666666666666664
0,54988258,7,1320.5,1,119000.0,2,11,5,96,3,60043,212.1320344,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,32,31.0,7562.4,7562.4,7562.4,44802.31891939847,27097.0,27097.0,39600.0,39600.0,1,0.0,0.19096487462437817,0.27907594656432205,0.0,59.09090909090909
0,59004394,4,1292.0,3,187000.0,2,8,-1,114,4,60019,273.0347963,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,37,18.5,27067.2,54134.4,0.0,38278.80133546504,48356.0,48356.0,46200.0,46200.0,2,0.0,0.585857448972966,0.5597369563868726,0.0,37.0
